date,open,high,low,close,volume,adjusted_close,change_percent,avg_vol_20d
7/7/2011,29.1399,30,29.01,29.73,1327820,1.982,2.66,22396156.2
7/8/2011,29.8899,29.8899,28.59,28.8099,1240579,1.9207,-3.09,22123426.2
7/11/2011,28.4001,28.53,27.9999,28.35,975702,1.89,-1.6,21680304.45
7/12/2011,28.3701,29.0901,27.9999,28.17,1045405,1.878,-0.63,21179038.2
7/13/2011,28.4301,29.0301,27.9,28.6401,1065941,1.9093,1.67,20798512.2
7/14/2011,28.53,28.9599,27.2499,27.6099,1159130,1.8407,-3.59,20657926.2
7/15/2011,27.7899,27.8301,27.3999,27.5799,708954,1.8387,-0.11,19808048.75
7/18/2011,27.3399,27.45,26.6301,27.2301,852316,1.8153,-1.27,19161812.75
7/19/2011,27.5799,28.11,27.54,27.8901,1026047,1.8593,2.42,18778067
7/20/2011,27.9999,30.4401,27.8001,28.6899,3048393,1.9127,2.87,19941940.2
7/21/2011,28.9101,29.16,28.1001,28.7001,1012005,1.9133,0.03,19594294.95
7/22/2011,28.7001,29.5401,28.551,29.2899,583868,1.9527,2.06,19154703.5
7/25/2011,29.01,29.25,28.44,28.4901,673491,1.8993,-2.73,16953178.35
7/26/2011,28.3101,28.77,27.9699,27.9999,762932,1.8667,-1.72,16168352.15
7/27/2011,28.5,28.5,27.51,27.6399,958402,1.8427,-1.29,16220305.4
7/28/2011,27.6,28.5501,27.54,28.17,938728,1.878,1.92,15828071.15
7/29/2011,27.8001,28.4001,27.5001,28.17,948126,1.878,0,15829175.9
8/1/2011,28.6701,28.98,28.2099,28.77,1164821,1.918,2.13,16061663.15
8/2/2011,28.6899,29.1999,27.27,27.3399,1549319,1.8227,-4.97,16476661.4
8/3/2011,27.5001,27.8301,26.3361,27.2001,1801328,1.8133,-0.52,17132491.4
8/4/2011,26.5101,26.8899,24.6699,24.75,3065595,1.65,-9.01,18435822.6
8/5/2011,24.99,25.38,22.83,24.24,1964375,1.616,-2.06,18978669.6
8/8/2011,23.1,24.4401,23.1,23.64,2608571,1.576,-2.48,20203321.3
8/9/2011,24.15,25.4499,23.7,25.0599,1333381,1.6707,6.01,20419303.3
8/10/2011,25.44,25.44,23.6301,23.82,1564146,1.588,-4.95,20792957.05
8/11/2011,24.0399,25.7499,24,25.2999,836483,1.6867,6.22,20550971.8
8/12/2011,25.5999,27.1401,25.3599,26.31,1009019,1.754,3.99,20776021.25
8/15/2011,26.6199,26.7501,25.9299,26.2299,738572,1.7487,-0.3,20690712.55
8/16/2011,26.13,26.5401,25.83,26.1,537688,1.74,-0.5,20324442.6
8/17/2011,26.3901,26.6499,25.5099,25.83,643772,1.722,-1.03,18520976.2
8/18/2011,24.9999,25.1499,23.4699,24.2601,1056568,1.6173,-6.08,18554398.45
8/19/2011,23.8599,24.2199,21.9999,22.2999,1375276,1.4867,-8.08,19147955.15
8/22/2011,23.1099,23.7999,21.6801,21.9501,986180,1.4633,-1.57,19382472.6
8/23/2011,21.93,23.1099,21.5001,22.9599,868967,1.5307,4.61,19461999.55
8/24/2011,23.1,23.9301,22.83,23.8701,684238,1.5913,3.96,19256375.85
8/25/2011,23.8701,23.8701,22.8999,23.1099,680210,1.5407,-3.18,19062486.65
8/26/2011,22.71,23.9499,22.0701,23.73,761756,1.582,2.68,18922708.45
8/29/2011,24.2199,24.8499,24.0201,24.7101,803301,1.6473,4.13,18651568.45
8/30/2011,24.5001,24.7701,24.09,24.63,366659,1.642,-0.32,17764572.75
8/31/2011,24.8001,25.5,24.2799,24.7401,823734,1.6493,0.44,17031377.25
9/1/2011,24.66,24.87,23.835,24,848084,1.6,-2.99,15368244.05
9/2/2011,23.6601,23.9901,22.68,23.07,770330,1.538,-3.88,14472710.3
9/6/2011,22.5,23.1999,22.29,22.9401,809759,1.5293,-0.57,13123601.35
9/7/2011,23.3901,24,23.28,23.8401,459186,1.5893,3.92,12467954.4
9/8/2011,23.58,24.03,23.28,23.61,505697,1.574,-0.96,11674116.95
9/9/2011,23.37,23.5701,22.5501,22.9701,669263,1.5313,-2.71,11548701.25
9/12/2011,22.5,23.31,22.4499,22.8801,566571,1.5253,-0.39,11216864.55
9/13/2011,23.01,24.0999,22.7499,24.0801,726461,1.6053,5.24,11207781.3
9/14/2011,24.2499,24.84,23.79,24.3399,830776,1.6227,1.08,11427598
9/15/2011,24.5799,24.93,24.33,24.8199,562512,1.6547,1.97,11366653
9/16/2011,24.78,25.8399,24.4899,25.8,1417573,1.72,3.95,11637406.75
9/19/2011,24.9501,25.8099,23.82,25.77,1157348,1.718,-0.12,11473960.75
9/20/2011,25.98,26.6001,25.6701,26.01,1180350,1.734,0.93,11619588.25
9/21/2011,25.95,26.9499,25.7001,25.8501,987576,1.7233,-0.62,11708545
9/22/2011,25.6401,26.1099,24.8799,25.6299,776001,1.7087,-0.85,11777367.95
9/23/2011,25.4901,26.6199,25.35,26.3799,1156327,1.7587,2.93,12134456.4
9/26/2011,26.52,26.52,24.9,25.5201,934714,1.7013,-3.26,12264175.6
